ID,Due,Broadcast,Planholders
 RFP-F21-110-0-2021/DB, 05/10/2021, 04/19/2021, 62
 IFB-PW21-33-0-2021/DB, 04/14/2021, 03/26/2021, 25
 IFB-PW21-03-0-2021/LV, 03/10/2021, 02/12/2021, 35
 IFB-PW21-09-0-2021/LV, 03/10/2021, 02/12/2021, 23
 IFB-PW21-31-0-2021/IC, 03/10/2021, 02/12/2021, 38
 RFP-F21-070-0-2021/LV, 03/08/2021, 02/05/2021, 59
 IFB-PW21-08-0-2021/LV, 02/24/2021, 02/05/2021, 18
 RFP-F21-103-0-2021/LV, 02/23/2021, 01/26/2021, 87
 RFP-F21-100-0-2021/LV, 02/22/2021, 01/29/2021, 48
 RFP-F21-046-0-2021/GC, 12/29/2020, 11/11/2020, 28
 RFP-F21-024-0-2021/LV, 12/01/2020, 10/29/2020, 34
 RFQL-F21-048-0-2021/LV, 11/17/2020, 10/20/2020, 11
 IFB-PW21-05-0-2021/LV, 11/12/2020, 10/23/2020, 33
 IFB-PW21-06-0-2021/LV, 11/12/2020, 10/16/2020, 35
 RFP-F21-023-0-2021/GC, 11/05/2020, 10/08/2020, 24
 IFB-PW21-01-0-2021/LV, 10/28/2020, 10/02/2020, 36
 IFB-F21-004-0-2021/MAP, 10/21/2020, 09/16/2020, 10
 IFB-PW20-16-0-2021/LV, 09/30/2020, 08/12/2020, 173
 RFI-F20-189-0-2020/IC, 07/09/2020, 06/23/2020, 31
 RFP-F20-156-0-2020/LV, 06/10/2020, 05/07/2020, 22
 RFP-F20-155-0-2020/LV, 06/04/2020, 05/06/2020, 25
 IFB-PW20-02-0-2020/LV, 06/03/2020, 04/22/2020, 65
 RFP-F20-144-0-2020/LV, 05/07/2020, 04/09/2020, 16
 IFB-F20-134-0-2020/IC, 05/06/2020, 04/14/2020, 10
 RFP-IRFP I20-009-0-2020/JLe, 04/10/2020, 03/06/2020, 7
 RFP-F20-038-0-2020/LV, 04/07/2020, 02/28/2020, 19
 RFQL-F19-227-0-2020/JLe, 03/12/2020, 02/20/2020, 9
 IFB-PW20-12-0-2020/LV, 03/11/2020, 02/14/2020, 30
 IFB-PW20-14-0-2020/LV, 03/11/2020, 01/31/2020, 17
 IFB-F20-101-0-2020/MAP, 03/04/2020, 02/11/2020, 8
 IFB-F19-223-0-2020/IC, 02/05/2020, 01/08/2020, 18
 IFB-PW20-13-0-2020/LV, 01/29/2020, 01/02/2020, 19
 RFP-F19-235-0-2020/JLe, 01/10/2020, 12/05/2019, 22
 RFP-F20-066-0-2020/JLe, 12/13/2019, 11/15/2019, 11
 IFB-PW20-07-0-2020/JLe, 12/11/2019, 11/21/2019, 20
